0.001; 0.002; 0.003
0.008; 0.013; 0.015
0.001; 0.029; 0.029
0.006; 0.066; 0.067
0.001; 0.090; 0.090
0.001; 0.077; 0.078
0.001; 0.181; 0.182
0.001; 0.002; 0.002
0.001; 0.003; 0.003
0.001; 0.061; 0.061
0.001; 0.183; 0.187
0.003; 0.005; 0.006
0.002; 0.052; 0.052
0.004; 0.008; 0.009
0.001; 0.002; 0.003
0.001; 0.135; 0.138
0.002; 0.010; 0.010
0.003; 0.119; 0.119
0.004; 0.089; 0.089
0.001; 0.002; 0.003
0.001; 0.002; 0.003
0.001; 0.002; 0.030
0.006; 0.007; 0.008
0.002; 0.005; 0.006
0.001; 0.133; 0.134
0.001; 0.002; 0.003
0.001; 0.002; 0.003
0.001; 0.047; 0.048
0.004; 0.071; 0.073
0.001; 0.087; 0.089
0.005; 0.072; 0.072
0.003; 0.080; 0.082
0.001; 0.079; 0.079
0.003; 0.005; 0.011
0.004; 0.008; 0.009
0.004; 0.320; 0.320
0.003; 0.086; 0.089
0.001; 0.011; 0.011
0.014; 0.016; 0.018
0.001; 0.013; 0.013
0.003; 0.007; 0.009
0.003; 0.007; 0.008
0.004; 0.227; 0.227
0.001; 0.002; 0.003
0.005; 0.053; 0.053
0.001; 0.003; 0.003
0.001; 0.005; 0.005
0.004; 0.008; 0.035
0.001; 0.004; 0.004
0.001; 0.065; 0.065
0.002; 0.175; 0.175
0.001; 0.003; 0.003
0.001; 0.057; 0.057
0.001; 0.002; 0.003
0.001; 0.002; 0.076
0.003; 0.023; 0.024
0.009; 0.029; 0.038
0.004; 0.013; 0.014
0.005; 0.050; 0.054
0.002; 0.181; 0.182
0.001; 0.003; 0.004
0.002; 0.004; 0.011
0.001; 0.019; 0.020
0.002; 0.091; 0.092
0.002; 0.176; 0.176
0.001; 0.083; 0.083
0.003; 0.073; 0.074
0.001; 0.071; 0.075
0.001; 0.003; 0.003
0.001; 0.004; 0.005
0.001; 0.048; 0.049
0.001; 0.004; 0.004
0.005; 0.159; 0.259
0.001; 0.087; 0.088
0.001; 0.082; 0.086
0.001; 0.003; 0.003
0.001; 0.005; 0.005
0.002; 0.037; 0.037
0.003; 0.006; 0.006
0.001; 0.002; 0.002
0.001; 0.040; 0.041
0.001; 0.003; 0.003
0.001; 0.002; 0.003
0.001; 0.003; 0.003
0.002; 0.111; 0.112
0.012; 0.172; 0.174
0.001; 0.086; 0.088
0.001; 0.084; 0.084
0.001; 0.064; 0.065
0.001; 0.089; 0.090
0.001; 0.290; 0.290
0.001; 0.002; 0.004
0.001; 0.002; 0.004
0.002; 0.006; 0.006
0.001; 0.002; 0.003
0.001; 0.003; 0.003
0.001; 0.003; 0.003
0.001; 0.124; 0.125
0.001; 0.085; 0.085
0.001; 0.002; 0.002
0.002; 0.004; 0.004
0.002; 0.150; 0.150
0.001; 0.084; 0.084
0.003; 0.084; 0.086
0.001; 0.002; 0.003
0.001; 0.003; 0.003
0.001; 0.055; 0.056
0.001; 0.180; 0.181
0.001; 0.082; 0.083
0.001; 0.090; 0.091
0.006; 0.009; 0.011
0.003; 0.004; 0.005
0.001; 0.228; 0.231
0.004; 0.263; 0.263
0.002; 0.006; 0.006
0.001; 0.002; 0.002
0.004; 0.048; 0.048
0.001; 0.289; 0.289
0.001; 0.389; 0.389
0.001; 0.087; 0.088
0.007; 0.086; 0.087
0.001; 0.002; 0.002
0.002; 0.002; 0.003
0.005; 0.006; 0.007
0.003; 0.296; 0.296
0.001; 0.002; 0.002
0.001; 0.002; 0.003
0.001; 0.154; 0.154
0.004; 0.008; 0.008
0.001; 0.002; 0.003
0.010; 0.137; 0.139
0.001; 0.002; 0.003
0.001; 0.006; 0.006
0.004; 0.032; 0.034
0.001; 0.003; 0.003
0.003; 0.008; 0.008
0.001; 0.142; 0.143
0.001; 0.002; 0.002
0.003; 0.004; 0.005
0.001; 0.139; 0.140
0.001; 0.003; 0.003
0.001; 0.002; 0.007
0.001; 0.141; 0.141
0.004; 0.083; 0.084
0.001; 0.004; 0.004
0.005; 0.006; 0.008
0.001; 0.042; 0.042
0.002; 0.171; 0.172
